PDB-ID  Pfam-ID Nseq    Length  Description
=====================================================================================================
1GUUA   PF00249 10393   50      Myb-like DNA-binding domain
1BRFA   PF00301 1430    53      Rubredoxin
1AAPA   PF00014 2256    56      Kunitz/Bovine pancreatic trypsin inhibitor domain
1JO8A   PF00018 6287    58      SH3 domain
1KU3A   PF04545 8439    61      Sigma-70, region 4
1M8AA   PF00048 1062    61      Small cytokines (intecrine/chemokine), interleukin-8 like
1C9OA   PF00313 6807    66      'Cold-shock' DNA-binding domain
1VFYA   PF01363 1645    67      FYVE zinc finger
1CTFA   PF00542 2390    68      Ribosomal protein L7/L12 C-terminal domain
1KW4A   PF07647 1192    70      SAM domain (Sterile alpha motif)
1CC8A   PF00403 9383    72      Heavy-metal-associated domain
1ATZA   PF00092 7567    75      von Willebrand factor type A domain
1TIFA   PF05198 1947    76      Translation initiation factor IF-3, N-terminal domain
1H98A   PF00037 10421   77      4Fe-4S binding domain
1T8KA   PF00550 20685   77      Phosphopantetheine attachment site
1BDOA   PF00364 11826   80      Biotin-requiring enzyme
1AVSA   PF00036 13234   81      EF hand
1CXYA   PF00173 3200    81      Cytochrome b5-like Heme/Steroid binding domain
1I71A   PF00051 1082    83      Kringle domain
1ABAA   PF00462 5749    87      Glutaredoxin
1DSXA   PF02214 1372    87      K+ channel tetramerisation domain
1SMXA   PF10150 2203    87      Ribonuclease E/G family
1NPSA   PF00030 1153    88      Beta/Gamma crystallin
1PCHA   PF00381 3344    88      PTS HPr component phosphorylation site
1VJKA   PF02597 3283    88      ThiS family
1FNAA   PF00041 17137   91      Fibronectin type III domain
1G9OA   PF00595 14944   91      PDZ domain (Also known as DHR or GLGF)
1FK5A   PF00234 3346    93      Protease inhibitor/seed storage/LTP family
1G2RA   PF04296 1037    94      Protein of unknown function (DUF448)
1A70A   PF00111 10732   97      2Fe-2S iron-sulfur cluster binding domain
1JO0A   PF01985 1482    97      CRS1 / YhbY (CRM) domain
1MK0A   PF01541 4455    97      GIY-YIG catalytic domain
1AG6A   PF00127 1057    99      Copper binding proteins, plastocyanin/azurin family
2HS1A   PF00077 72785   99      Retroviral aspartyl protease
1JOSA   PF02033 2010    100     Ribosome-binding factor A
1NRVA   PF00017 3052    100     SH2 domain
1SVYA   PF00626 2190    101     Gelsolin repeat
1D0QA   PF01807 2445    102     CHC2 zinc finger
1EAZA   PF00169 5484    103     PH domain
1IIBA   PF02302 6799    103     PTS system, Lactose/Cellobiose specific IIB subunit
1TQGA   PF01627 5672    105     Hpt domain
1I1JA   PF07653 2128    106     Variant SH3 domain
1GMXA   PF00581 14043   107     Rhodanese-like domain
1VMBA   PF01250 2145    107     Ribosomal protein S6
1BKRA   PF00307 4137    108     Calponin homology (CH) domain
1FQTA   PF00355 7519    109     Rieske [2Fe-2S] domain
1H4XA   PF01740 6240    110     STAS domain
1I4JA   PF00237 3068    110     Ribosomal protein L22p/L17e
1ROAA   PF00031 1106    111     Cystatin domain
1FX2A   PF00211 4633    112     Adenylate and Guanylate cyclase catalytic domain
1WJXA   PF01668 2073    112     SmpB protein
1R26A   PF00085 12592   113     Thioredoxin
1RW1A   PF03960 3279    114     ArsC family
1DLWA   PF01152 1113    116     Bacterial-like globin
2MHRA   PF01814 3842    118     Hemerythrin HHE cation binding domain
1WHIA   PF00238 2897    122     Ribosomal protein L14p/L23e
2CUAA   PF00116 22284   122     Cytochrome C oxidase subunit II, periplasmic domain
1C44A   PF02036 1826    123     SCP-2 sterol transfer family
1P90A   PF02579 1133    123     Dinitrogenase iron-molybdenum cofactor
1PKOA   PF07686 6868    124     Immunoglobulin V-set domain
2PHYA   PF00989 13767   125     PAS fold
1JBEA   PF00072 75322   126     Response regulator receiver domain
1J3AA   PF00572 2582    129     Ribosomal protein L13
1C52A   PF00034 11260   131     Cytochrome c
1M4JA   PF00241 1170    133     Cofilin/tropomyosin-type actin-binding protein
1VP6A   PF00027 13081   133     Cyclic nucleotide-binding domain
1DQGA   PF00652 2066    134     Ricin-type beta-trefoil lectin domain
1GMIA   PF00168 8036    135     C2 domain
